Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
AZE,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
CYP,GBR,,,,,,,,,,,,,,11,11,11,,,,,,,,,,,,,,2,3,3,3,3,3
IRQ,BHR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,48,139
AUT,FRA,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
POL,BEL,,,,,,,,,,,,,,,,,,,,,,4466,4466,21,1002,6,751,669,595,525,484,432,377,335,302
NER,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,7,8,8
CIV,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,9,22,97,168,274,295,330
ALB,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,2,3,3
UZB,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,11,19,21,26,28
TJK,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
VEN,USA,,,,,,,,,,,,,,,,,,,,,,3,11,30,51,54,,189,318,984,2201,3186,3989,4718,5171
SYR,NOR,,,,,,,,,,,,,,,,,,,,,,,50,71,120,113,105,92,93,132,144,146,149,154,152
PAN,PER,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
IRQ,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
KOR,NLD,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,4,5,5,5,9,9,8,8,8
ARM,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718,4893,4856,3943,1874,2178,2527,3691
RWA,DJI,,,,,,,,,,,,,,,,,,,,,,4,14,14,14,14,14,,,,,,,,
UGA,BFA,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
NGA,NLD,,,,,,,,,,,,,,,,,,40,40,46,57,69,81,94,,126,127,117,129,141,165,193,202,202,205
PAK,PRT,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,,,,,
SLE,CUB,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,
MAR,CHE,,,,,,,,,,,,,,,,,,,,,,,,9,17,16,24,25,20,23,28,23,19,22,28
SOM,USA,,,,,,,,,,,,,,171,264,446,739,2416,5207,8784,13492,18201,22613,24419,27874,34005,33750,28693,25421,31110,34207,72546,12224,10154,7112
NPL,BEL,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,4,6,23,26,31,24,25
AGO,ETH,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,3,4,4,4,4,,,,,
AZE,CHE,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8,5,9,22,29,44,49,56,68
TCD,COD,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,0
COG,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
IRN,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4
AGO,DNK,,,,,,,,,,,,,,,,,,,,,,,1,2,18,32,24,28,31,32,32,30,16,17,16
USA,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3
TZA,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2
IRN,CHE,,,,,,,,,,,,,,,,,,,774,795,823,852,1098,854,1067,1070,1079,984,928,963,1034,1132,1150,2936,1255
PAK,USA,,,,,,,,,,,,,,63,86,97,103,179,304,500,1093,1687,2062,2356,2697,2668,2592,2721,2212,1975,2144,4211,4126,3936,3690
CHN,HUN,,,,,,,,,,,,,,,,,,,4,4,,,,,,2,2,2,4,5,11,19,20,18,19
ERI,BFA,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,,,,
HRV,CHL,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
HRV,ECU,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,1,1,1,1,2,2,2,,,
ECU,SWE,,,,,,,,,,,,,,,,3,27,38,38,48,48,48,51,51,,48,25,23,49,49,60,85,56,58,60
MEX,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,9,1,24,193,159,32
TGO,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2
EGY,AUT,,,,,,,,,,,,,,,,,,,,,,,,18,21,23,21,19,21,29,31,30,33,32,36
DEU,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,3
UKR,MEX,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,,,
ECU,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3
GEO,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ERI,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2
ROU,AUT,,,,,,,,,,,,,,,,,,,,,,,,4202,2375,2079,845,362,208,118,96,72,56,53,45
TGO,AUT,,,,,,,,,,,,,,,,,,,,,,,,8,9,10,10,12,13,14,23,24,26,23,28
BGR,ARG,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2
GTM,HND,,,,,,,1500,580,1000,1000,1000,1000,1000,1015,1030,399,,,,,,,,,,,,,,,,,,,
COD,NLD,,,,,,,,,,,,,,,,,,155,241,358,731,1104,1468,1612,,1851,1981,1979,1975,2097,2102,1751,1182,1152,1084
ECU,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
BIH,CYP,,,,,,,,,,,,,,,,,,,42,51,31,11,9,5,5,5,5,5,15,15,15,15,15,15,15
MMR,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,420,453,331,487,607,729,756
CRI,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
ERI,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,3,3,3,3,3
GHA,TGO,,,,,,,,200,1470,1500,2500,2150,3390,3338,3314,3294,3242,3206,3158,12231,12258,12285,12285,11208,11208,11208,11208,11208,11208,10000,8000,5000,,8113,8073
EGY,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,8,8,8,9
GNB,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2
COD,GHA,,,,,,,,,,,,,,,,,,,,,,,,1,7,12,13,14,,,,20,23,17,24
IRN,EGY,,,,,,,,,,,,,,,,,,,,,,2,3,,,,1,1,2,2,1,1,1,1,1
NER,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SLE,GHA,,,,,,,,,,,,,,,,,,,,,,5,586,758,1694,2103,1998,4316,943,632,125,103,101,132,132
MLI,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2
PER,USA,,,,,,,,,,,,,,3,26,53,73,185,425,871,1595,2319,2597,2742,3005,2623,2225,1994,1463,990,870,2594,2536,2311,1752
SLE,HND,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
MLI,MOZ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
BGD,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,4,4,4
UGA,CHE,,,,,,,,,,,,,,,,,,,81,77,,,,53,46,42,41,40,37,36,35,33,32,33,30
BIH,KAZ,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
NIC,AUS,,,,,,,,,,,,,,,,,,,,,,21,15,15,14,14,,,,,,,,,
ARG,NLD,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,,5,,,,1,1,1,1,1,1
LBR,BHS,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,
SOM,LBY,,,,,,,,,,,,,,,,,,,804,980,2165,3350,2513,3013,2891,2891,2906,2899,2906,2938,2938,488,513,573,643
RWA,AUS,,,,,,,,,,,,,,,,,,,,,,16,17,10,13,11,11,23,60,144,192,317,9,11,15
SDN,AGO,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,35,35,36,14,31,41,135
CUB,FIN,,,,,,,,,,,,,,,,,,,,,,,,57,57,56,55,27,18,20,9,8,9,9,10
CIV,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
PRT,AUS,,,,,,,,,,,,,,,,,,,,,,9,9,5,4,1,,,,,,,,,
ECU,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ETH,RWA,,,,,,,,,,,,,,,,,,,,,,,11,2,2,,14,11,23,23,24,5,5,4,4
UGA,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,10
COG,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,
AZE,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,30,30,26,26,24,26,25,24
SDN,LVA,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1
SWE,CAN,,,,,,,,,,,,,,,,,,,,11,24,37,39,39,,17,5,7,6,5,6,6,7,6,6
KHM,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0
DJI,AUS,,,,,,,,,,,,,,,,,,,,,,5,5,,5,6,7,7,12,7,6,5,,,
LVA,URY,,,,,,,,,,,,,,,,,,,,4,3,2,4,4,2,2,2,3,5,5,5,5,5,5,5
IRN,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
RWA,TGO,,,,,,,,,,,,,,,,,,,17,37,114,191,236,388,671,770,770,791,809,840,809,819,821,806,239
CHL,NLD,,,,,,,,,,,,,,,,,,177,177,177,155,134,97,66,,37,22,2,2,2,1,3,2,2,2
ARM,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,11,17,28,32,40,42,43
LBR,PRT,,,,,,,,,,,,,,,,,,,,,,70,71,71,,70,64,63,39,39,22,4,3,3,3
AFG,TUR,,,,,,5000,,320,340,,,,,,,,,,,,,1448,15,21,26,44,106,103,83,64,76,75,212,347,1040
LBR,CAF,,,,,,,,,,,,,,,,,,,8,8,,,22,22,2,4,10,10,37,16,34,36,38,26,26
BGD,GBR,,,,,,,,,,,,,,4,4,8,13,28,28,25,25,25,30,30,,595,635,850,1257,1532,1688,1786,1921,2018,1856
UZB,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,11
ARM,PRT,,,,,,,,,,,,,,,,,,,,,,3,5,5,,5,5,5,5,5,5,2,,,0
UZB,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
UGA,AGO,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,2,,,,1
CMR,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,2,5,5,4,6
AZE,URY,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
IRQ,USA,,,,,,,,,,,,,,1058,994,818,1367,4661,9305,14372,17494,20617,25384,22343,19398,19290,19077,12017,10523,8583,5993,19755,4336,4788,5427
MMR,DNK,,,,,,,,,,,,,,,,2,4,4,4,4,4,4,6,6,16,54,69,78,221,380,519,686,39,52,53
NGA,PHL,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,1,0
SLE,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,52,52,53,52,52,52,52,52
LKA,ETH,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,
BOL,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
NGA,FRA,,,,,,,,,,,,,,,,,,,,,,122,131,149,148,154,163,181,195,249,366,471,532,606,658
IRN,CZE,,,,,,,,,,,,,,,,,,,,,,,23,23,21,21,31,31,34,36,35,31,30,31,32
RUS,SEN,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
KWT,USA,,,,,,,,,,,,,,,,,,20,20,20,61,103,90,107,120,88,66,74,55,68,67,120,90,71,69
CIV,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,
MRT,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,4
IND,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
DZA,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
ETH,QAT,,,,,,200,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,
SDN,MYS,,,,,,,,,,,,,,,,,,,1,2,,,1,1,1,1,1,1,1,3,17,23,27,21,41
JOR,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0
MUS,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
LKA,BGD,,,,,,,,,,,,,,,,,,,4,9,5,5,5,7,7,2,2,2,2,,,,,2,5
LBR,MLT,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,,,,4,7,6,6,6,6,6,6
IDN,NOR,,,,,,,,,,,,,,,,,,,,,,,5,23,62,71,83,88,163,164,164,164,13,9,3
TKM,NLD,,,,,,,,,,,,,,,,,,,,,,1,2,2,,7,2,2,2,14,13,33,23,23,18
CYP,CHE,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0
GRC,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
KAZ,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
VNM,DNK,,,,,,,,,,,,,,,2285,1668,1151,662,730,730,661,592,612,182,1935,1293,574,327,273,251,175,143,114,88,69
TCD,FRA,,,,,,,,,,,,,,,,,,,,,,305,301,282,287,296,323,380,518,607,723,774,827,892,980
CMR,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,6,5,5,7,9,10,3,6
ETH,CAN,,,,,,,,,,,,,,,,,,,,7786,5768,3750,2543,1724,,1635,2034,2244,2873,3549,3986,4753,1652,1732,1742
IRQ,TUN,,,,,,,,,,,,,,,,,,,,2,12,22,30,39,21,11,11,8,10,8,8,12,12,12,9
ERI,DJI,,,,,,,200,200,,,,,,,,,,,,,,,,,,,,6,6,86,83,64,88,150,293
SLE,TGO,,,,,,,,,,,,,,,,,,,,,,7,7,,,,10,10,10,10,10,10,10,10,
TZA,CAF,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,,2,2,2,2,2
IRN,SYR,,,,,,,,,,,,,,,,,,,50,50,36,23,46,50,83,47,23,18,9,16,29,131,170,169,158
ETH,RUS,,,,,,,,,,,,,,,,,,,,,,2,1,4,4,39,29,11,10,5,5,1,1,12,12
LKA,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4
TUN,NLD,,,,,,,,,,,,,,,,,,5,5,12,15,19,34,53,,63,68,72,74,79,87,83,67,49,46
ARE,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
LBY,FIN,,,,,,,,,,,,,,,,,,,,,,,,11,14,19,21,19,23,25,27,28,23,24,25
VNM,NLD,,,,,,,,,,,,,,,,,,1467,1600,1606,1696,1787,1795,1797,,1111,654,362,233,239,120,68,53,50,48
HRV,USA,,,,,,,,,,,,,,,,,,,9,61,136,211,264,298,1949,4927,5892,6258,6296,4732,1753,6520,171,131,129
MLI,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,4,10,10
ETH,MOZ,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,3,,,,,
TCD,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1
BGR,BOL,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,
SDN,MOZ,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,1,1,1,1,1,2,3,3,1,1,2
LBR,BRA,,,,,,,,,,,,,,,,,,,55,211,150,203,243,244,252,255,257,270,267,284,261,256,254,249,259
UKR,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
TUN,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,,
LKA,JOR,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1
SDN,BEL,,,,,,,,,,,,,,,,,,,,,,,,21,16,19,14,16,11,13,33,49,39,47,48
MMR,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
ISR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,25,25,26,26,26
CUB,DNK,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,4,4,18,17,12,12,12,8,7,5,4,2,1
IRN,BWA,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
LKA,HKG,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,2,11,13,6,4,8,16,19,29,19
RWA,ETH,,,,,,,,,,,,,,,,,,,,,,60,64,69,57,63,55,46,37,23,22,17,16,7,10
KGZ,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,20,25,56,87,103,156,194
ROU,CAN,,,,,,,,,,,,,,,,,,,,3085,2099,1113,817,642,,572,730,695,715,711,697,654,1286,1203,1088
GAB,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,3
COM,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
PER,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4
KEN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,32,53,74,91,100,105,107,110
BTN,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,8,10,12,12
SEN,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,,1,1,1
LBY,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,6,6,6,6,6,6,1,6
PAK,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
LBR,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,18,9,9,4,6,,
CZE,ESP,,,,,,,,,,,,,,,,,13,8,8,7,,,,,,,,,,,,,,,
COG,BEN,,,,,,,,,,,,,,,,,,,,,,,18,103,383,1238,1241,1243,1179,1140,1126,252,287,272,266
CAF,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18,29,,,
PER,ITA,,,,,,,,,,,,,,,,,,,2,3,4,5,5,5,,8,8,8,6,7,5,5,6,8,15
SLE,MOZ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1
MKD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186,3198,2971,6539,6014,5926,5729,6081
SDN,PRT,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,5,5,5,5,5,6,2,2,2
PAK,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,3,2,13,25
PAK,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3
ARG,PAN,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,1,1,1
CMR,TGO,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,6,6,6,6,6,6,6,6,0
RWA,BEL,,,,,,,,,,,,,,,,,,,,,,1041,1041,1603,2100,2544,2094,1661,1591,1795,1929,1833,1350,1108,1046
MDG,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
DEU,SWE,,,,,,,,,,,,,,,,,4,4,8,8,8,8,8,8,,9,5,5,1,1,1,2,2,6,6
GUY,BEL,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
EGY,GRC,,,,,,,,,,,,,,,,,,,5,5,,,,,,,2,2,2,2,1,2,2,3,3
CMR,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
ARM,BGR,,,,,,,,,,,,,,,,,,,75,79,79,79,,,,,,,,7,10,17,20,25,30
NGA,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
PAK,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
MMR,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,94,101,103,106,107,180,388,13,13,14
HUN,BEL,,,,,,,,,,,,,,,,,,,,,,1264,1264,3,314,,259,221,196,169,147,133,127,112,103
GIN,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,5,6,7,7,6
MDG,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,5,23,21,21,15
MKD,BRA,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,5,6,5,5,6
PAK,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,2,2,2
ZWE,BWA,80,1100,4000,17760,22530,160,190,,3200,3760,4250,3150,3780,624,,1,120,,,,,,,,,3,4,26,23,24,87,87,96,808,860
BDI,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
CMR,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,38,72,101,125,129,156,160,167
COG,ROU,,,,,,,,,,,,,,,,,,,,,,,,14,24,21,32,34,47,48,53,55,56,43,36
UZB,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,7,10,10
MOZ,UKR,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,1,1,1,1
CHN,USA,,,,,,,,,,,,,,229,368,1025,1355,1606,1852,2111,2294,2477,3509,5418,7499,11148,17105,23696,21300,18957,26131,41007,45194,47277,51480
HND,ITA,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,2
IND,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
EST,NLD,,,,,,,,,,,,,,,,,,,,1,2,4,9,9,,9,9,9,9,8,8,5,,,
SYR,SWE,,,,,,,,,,,,,,,,1796,2679,3157,3216,3384,3312,3240,3165,3014,2420,2028,1268,970,1048,940,1032,1065,1081,1084,1118
ITA,CHE,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,5,4,1,3,3,1,1,3
SOM,IRQ,,,,,,,,,,,,1000,,,,,,,,,,317,313,313,313,313,313,,,,,,2,,
URY,FRA,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,
NAM,NGA,,50,50,,,,,50,70,,120,120,120,130,100,70,50,,15,7,,,,,,,35,35,35,35,,,,,
KEN,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
CMR,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MDA,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,79,139,177,190,199,212,221,227
KEN,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
MNE,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
ECU,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,100,98,91,73,160,154,127
KEN,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11,12,12,14,22,32,32,36
SYR,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4
SVK,ETH,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PAK,HKG,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,12,66,68,13,22,18,15,16,18
LBY,JOR,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,1,1,1,1,1,1,1,1,2,0
SOM,FRA,,,,,,,,,,,,,,,,,,,,,,496,512,541,567,589,543,563,543,567,587,612,650,686,835
FJI,USA,,,,,,,,,,,,,,,,1,1,19,89,118,200,283,299,257,290,370,680,878,762,835,906,1207,1248,1281,1279
CMR,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ERI,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,12,15,26,41
CAF,HKG,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CRI,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,,,1,9,10,14,15,15,16
ARM,CZE,,,,,,,,,,,,,,,,,,,,,,105,109,109,97,68,59,59,77,82,83,81,85,84,83
KGZ,SWE,,,,,,,,,,,,,,,,,,,,,,3,3,4,,7,7,27,32,50,100,102,135,138,146
BDI,ERI,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
HND,CUB,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,
KGZ,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106,2242,2275,1961,868,1213,1370,1358
UZB,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,10,15
PAN,MEX,,,,,,,,,,,,,,,,,,,26,26,,,12,,,,,,,,,,,,
LKA,VEN,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
MWI,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,2,5,4,5,2
MAR,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
NPL,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,5
SEN,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CIV,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,,
IRQ,KWT,,,,,,,,,,100,100,,,,,,20000,19879,20000,19990,10989,1988,1601,1743,1816,1200,304,419,417,418,422,49,30131,30193,175
BIH,AUT,,,,,,,,,,,,,,,,,,,,,,74131,69885,68087,66869,1398,1402,1255,726,581,231,200,171,205,206
NIC,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,6,6,6,6,2,2
ZWE,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,20
MOZ,ZAF,,,,,,,,,,,,,,,,,,,250000,90000,,,,,,,1,1,1,1,,,,,
GIN,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,9,8,8,5,2,5,6,7
SDN,UZB,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
GIN,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
LCA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,5,0
BTN,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
MMR,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,6,5,9
LBY,GHA,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,,,,,
TJK,SWE,,,,,,,,,,,,,,,,,,8,8,14,18,22,26,29,,36,42,44,47,45,42,41,54,52,48
ETH,AUT,,,,,,,,,,,,,,,,,,,,,,,,50,52,55,46,40,54,70,76,87,90,98,113
BDI,BEN,,,,,,,,,,,,,,,,,,,8,,11,29,38,59,95,111,132,134,132,118,110,46,37,35,33
IRQ,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
GTM,BOL,,,,,,,,,,,120,120,,,,,,,44,44,44,44,,,,,,,,,,,,,
AGO,BEL,,,,,,,,,,,,,,,,,,,,,,449,449,295,454,338,309,213,166,134,122,126,133,128,109
